timestamp,temp,set_temp,p,i,d,dac,volt,run,alarm,limit
2026-03-19 17:30:22,52.03,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:22,51.88,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:22,52.47,65.0,12.0,0.1,18.0,2998.0,2.32,1,0,75.0
2026-03-19 17:30:23,52.32,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:23,52.32,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:23,52.03,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:23,52.1,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:23,51.95,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:24,51.66,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:24,51.95,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:24,51.73,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:24,51.37,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:25,52.03,65.0,12.0,0.1,18.0,2863.0,1.991,1,0,75.0
2026-03-19 17:30:25,51.88,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:25,52.03,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:25,51.73,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:26,51.73,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:26,51.37,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:26,51.29,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:26,51.0,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:26,50.93,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:27,51.07,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:27,51.0,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:27,50.93,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:27,50.85,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:28,50.78,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:28,50.34,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:28,50.05,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:28,50.78,65.0,12.0,0.1,18.0,2945.0,2.191,1,0,75.0
2026-03-19 17:30:28,50.42,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:29,50.42,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:29,50.49,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:29,50.49,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:29,50.78,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:30,50.42,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:30,50.27,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:30,50.42,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:30,49.46,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:31,50.2,65.0,12.0,0.1,18.0,3119.0,2.616,1,0,75.0
2026-03-19 17:30:31,50.42,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:31,50.64,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:31,50.12,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:31,50.12,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:32,49.83,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
2026-03-19 17:30:32,49.39,65.0,12.0,0.1,18.0,4094.0,4.998,1,0,75.0
